,level_0,index,chcarbon,code,Land use,TopN2O,precipitation_level,component_name,carbon_e_c_nit,to_carb,AnnualHarv,annualChangeInCarbon,ISPAID Soil Type,soil_series,LAND USE TYPE,SU,DI,GS,yield, carcass weight ( animal ha-1 year-1),kg CO2-e kg steer-1 (Stanley et al 2018),Totak GHG kg CO2-e kg carcass weight/ha,SOC,Molecular_wight,C kg co2-,net emmision,soil_code,ut_rate,yieldBaseRates,ch4_kg_ha_yr,new_ghg,Unnamed: 0,changeincarbon2,co_eq,an_Year,SOC1,SOC2,Whole_repsiration,Top_respiration,TPC,flowNitrate,NConc,n20,N03Ncon,CumuAnnualLeach,NO3Total,MineralN,LeachNO3,runoff,drainaged_run_off,total_carbon,no2_eq,top_no2_eq,mean_rain,mean_maxt,mean_mint,total_radn,PAWC1,PAWC2,SW1,SW2,SW3,land_use,Depth,residue_fraction,SID,changeincarbon,SurfaceOrganicMatter.Wt,Year,Month,sub_surface_drain_no3,sub_surface_drain,CNRed,Catmos,M_AGB,MAIZE_AGB_NITROGEN,Maize_Yield,mYield,Toplayer_soil_Carbon,CumulativeAnnualLeaching,BD,N03Ncon2,N03Ncon3,Nloss,Year_in_soybean,soy_AGB,SoyYield,AGPKikuyu.HarvestedWt,SimpleGrazing.GrazedDM,SimpleGrazing.AmountDungWtReturned,SimpleGrazing.AmountDungNReturned,SimpleGrazing.AmountUrineNReturned,MicroClimate.RadiationInterception,Weather.Radn,NReturned,CReturned,DeadProportion,AGPKikuyu.CoverTotal,AGPKikuyu.CoverGreen,AGPKikuyu.CoverDead,AGPKikuyu.AboveGroundWt,AGPKikuyu.AboveGroundDeadWt,land_use_codes,precipitation_level_mm,SoilType,soil_type,carbon_eq,Precipitation (cm) 1,carbon_equivalent_forests,new_ghg_intensity,base_yield,energy_in_put,total_ghg_w_energy
10,10,1357,3.953224921418901,6,Permanent pasture,0.4988598788516851,624.0,Tama,244.83235578750612,7.504228792753985,4197.772507396554,0.16676063983897743,Downs 162D2,Downs,Permanent pasture,0.35,0.0163,200.0,1.35,398.7,3874.0,5241.0,1.765,3.666666667,1063.0,4177.0,D,0.55,1.9250000000000005,3448.6425000000004,569.26875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,4262.743605787507
11,11,1357,3.953224921418901,6,Permanent pasture,0.4988598788516851,624.0,Tama,244.83235578750612,7.504228792753985,4197.772507396554,0.16676063983897743,Downs 162D2,Downs,Permanent pasture,0.35,0.0163,200.0,1.35,398.7,3874.0,5241.0,1.765,3.666666667,1063.0,4177.0,D,0.55,1.9250000000000005,3448.6425000000004,569.26875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,,,,,,,,4262.743605787507
12,12,1358,3.953224921418901,6,Permanent pasture,0.4988598788516851,624.0,Tama,244.83235578750612,7.504228792753985,4197.772507396554,0.16676063983897743,Gara-Armstrong 993E2,Gara,Permanent pasture,0.35,0.0163,200.0,0.87,398.7,3874.0,3356.0,1.765,3.666666667,1063.0,2293.0,G,0.55,1.232916666666667,2456.1257916666673,548.6792708333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,3249.637418287507
13,13,1358,3.953224921418901,6,Permanent pasture,0.4988598788516851,624.0,Tama,244.83235578750612,7.504228792753985,4197.772507396554,0.16676063983897743,Gara-Armstrong 993E2,Gara,Permanent pasture,0.35,0.0163,200.0,0.87,398.7,3874.0,3356.0,1.765,3.666666667,1063.0,2293.0,G,0.55,1.232916666666667,2456.1257916666673,548.6792708333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,,,,,,,,3249.637418287507
14,14,1358,6.345846054901084,12,switchgrass,0.6441870679032271,872.0,Colo,-307.13179554853855,17.341190043685653,,0.3853597787485701,,,,,,,,,,,,,,,,,,,1155.6237151057644,201.0,10.995343988784567,-63584.36349351406,,6.133984646726637,69.62883874601597,2592.955449300367,2532.2801744263547,69.62883874601597,0.0014523491537874,0.0,2.8324772827664044,,3.303598902793056,436.5433339686263,272.42958942706827,3.303598902793056,0.0,,75.76282339274259,0.0081426011496698,124.08984617812423,,5410.508959793333,1190.7805979661086,5583.782164732023,0.1332286474798044,0.1406417030578644,0.3378894665344372,0.3517350363911977,0.3542304808555649,switchgrass,,,1404.0,,,1988.0,12.0,0.0,0.0,20.0,7.113043493207348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,872.0,Colo,Colo,-1412.7289488922577,,,0.0107447106454296,5.77,12.41684243380781,848.4919195572259
15,15,1359,3.953224921418901,6,Permanent pasture,0.4988598788516851,624.0,Tama,244.83235578750612,7.504228792753985,4197.772507396554,0.16676063983897743,Muscatine 119,Muscatine,Permanent pasture,0.35,0.0163,200.0,1.61,398.7,3874.0,6239.0,1.765,3.666666667,1063.0,5175.0,T,0.55,2.2916666666666674,3974.4791666666674,580.1770833333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,4799.4886057875065
16,16,1359,3.953224921418901,6,Permanent pasture,0.4988598788516851,624.0,Tama,244.83235578750612,7.504228792753985,4197.772507396554,0.16676063983897743,Muscatine 119,Muscatine,Permanent pasture,0.35,0.0163,200.0,1.61,398.7,3874.0,6239.0,1.765,3.666666667,1063.0,5175.0,T,0.55,2.2916666666666674,3974.4791666666674,580.1770833333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,,,,,,,,4799.4886057875065
17,17,1360,3.953224921418901,6,Permanent pasture,0.4988598788516851,624.0,Tama,244.83235578750612,7.504228792753985,4197.772507396554,0.16676063983897743,Nicollet 55,Nicollet,Permanent pasture,0.35,0.0163,200.0,1.54,398.7,3874.0,5948.0,1.765,3.666666667,1063.0,4884.0,N,0.55,2.184722222222223,3821.11013888889,576.9954861111112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,4642.9379807875075
18,18,1360,3.953224921418901,6,Permanent pasture,0.4988598788516851,624.0,Tama,244.83235578750612,7.504228792753985,4197.772507396554,0.16676063983897743,Nicollet 55,Nicollet,Permanent pasture,0.35,0.0163,200.0,1.54,398.7,3874.0,5948.0,1.765,3.666666667,1063.0,4884.0,N,0.55,2.184722222222223,3821.11013888889,576.9954861111112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,,,,,,,,4642.9379807875075
19,19,1361,3.953224921418901,6,Permanent pasture,0.4988598788516851,624.0,Tama,244.83235578750612,7.504228792753985,4197.772507396554,0.16676063983897743,Nodaway 220,Nodaway,Permanent pasture,0.35,0.0163,200.0,1.51,398.7,3874.0,5864.0,1.765,3.666666667,1063.0,4801.0,Y,0.55,2.1541666666666672,3777.290416666667,576.0864583333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,4598.209230787506
20,20,1361,3.953224921418901,6,Permanent pasture,0.4988598788516851,624.0,Tama,244.83235578750612,7.504228792753985,4197.772507396554,0.16676063983897743,Nodaway 220,Nodaway,Permanent pasture,0.35,0.0163,200.0,1.51,398.7,3874.0,5864.0,1.765,3.666666667,1063.0,4801.0,Y,0.55,2.1541666666666672,3777.290416666667,576.0864583333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,,,,,,,,4598.209230787506
21,21,1362,3.953224921418901,6,Permanent pasture,0.4988598788516851,624.0,Tama,244.83235578750612,7.504228792753985,4197.772507396554,0.16676063983897743,Okoboji 90,Okoboji,Permanent pasture,0.35,0.0163,200.0,0.87,398.7,3874.0,3356.0,1.765,3.666666667,1063.0,2293.0,O,0.55,1.232916666666667,2456.1257916666673,548.6792708333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,3249.637418287507
22,22,1362,3.953224921418901,6,Permanent pasture,0.4988598788516851,624.0,Tama,244.83235578750612,7.504228792753985,4197.772507396554,0.16676063983897743,Okoboji 90,Okoboji,Permanent pasture,0.35,0.0163,200.0,0.87,398.7,3874.0,3356.0,1.765,3.666666667,1063.0,2293.0,O,0.55,1.232916666666667,2456.1257916666673,548.6792708333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,,,,,,,,3249.637418287507
23,23,1363,3.953224921418901,6,Permanent pasture,0.4988598788516851,624.0,Tama,244.83235578750612,7.504228792753985,4197.772507396554,0.16676063983897743,Tama 120C2,Tama,Permanent pasture,0.35,0.0163,200.0,1.57,398.7,3874.0,6072.0,1.765,3.666666667,1063.0,5009.0,M,0.55,2.3680555555555562,4084.028472222223,582.4496527777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,4911.310480787507
24,24,1363,3.953224921418901,6,Permanent pasture,0.4988598788516851,624.0,Tama,244.83235578750612,7.504228792753985,4197.772507396554,0.16676063983897743,Tama 120C2,Tama,Permanent pasture,0.35,0.0163,200.0,1.57,398.7,3874.0,6072.0,1.765,3.666666667,1063.0,5009.0,M,0.55,2.3680555555555562,4084.028472222223,582.4496527777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,,,,,,,,4911.310480787507
25,25,1364,3.953224921418901,6,Permanent pasture,0.4988598788516851,624.0,Tama,244.83235578750612,7.504228792753985,4197.772507396554,0.16676063983897743,Tama 120B,Tama,Permanent pasture,0.35,0.0163,200.0,1.66,398.7,3874.0,6447.0,1.765,3.666666667,1063.0,5383.0,Q,0.55,2.230555555555556,3886.839722222223,578.3590277777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,4710.031105787507
26,26,1364,3.953224921418901,6,Permanent pasture,0.4988598788516851,624.0,Tama,244.83235578750612,7.504228792753985,4197.772507396554,0.16676063983897743,Tama 120B,Tama,Permanent pasture,0.35,0.0163,200.0,1.66,398.7,3874.0,6447.0,1.765,3.666666667,1063.0,5383.0,Q,0.55,2.230555555555556,3886.839722222223,578.3590277777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,,,,,,,,4710.031105787507
27,27,1365,4.028439511653922,6,Permanent pasture,0.5756637230714954,716.0,Tama,386.0107470560829,7.389304851063734,4233.506921654102,0.164206774468083,Ackmore-Colo 5B,Ackmore,Permanent pasture,0.35,0.0163,200.0,0.99,398.7,3874.0,3822.0,1.765,3.666666667,1063.0,2759.0,K,0.55,1.404027777777778,2701.5162361111115,553.7698263888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,3641.296809556083
28,28,1365,4.028439511653922,6,Permanent pasture,0.5756637230714954,716.0,Tama,386.0107470560829,7.389304851063734,4233.506921654102,0.164206774468083,Ackmore-Colo 5B,Ackmore,Permanent pasture,0.35,0.0163,200.0,0.99,398.7,3874.0,3822.0,1.765,3.666666667,1063.0,2759.0,K,0.55,1.404027777777778,2701.5162361111115,553.7698263888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,,,,,,,,3641.296809556083
29,29,1366,4.028439511653922,6,Permanent pasture,0.5756637230714954,716.0,Tama,386.0107470560829,7.389304851063734,4233.506921654102,0.164206774468083,Buckney 1636,Buckney,Permanent pasture,0.35,0.0163,200.0,0.87,398.7,3874.0,3356.0,1.765,3.666666667,1063.0,2293.0,B,0.55,1.232916666666667,2456.1257916666673,548.6792708333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,3390.8158095560834
30,30,1366,4.028439511653922,6,Permanent pasture,0.5756637230714954,716.0,Tama,386.0107470560829,7.389304851063734,4233.506921654102,0.164206774468083,Buckney 1636,Buckney,Permanent pasture,0.35,0.0163,200.0,0.87,398.7,3874.0,3356.0,1.765,3.666666667,1063.0,2293.0,B,0.55,1.232916666666667,2456.1257916666673,548.6792708333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,,,,,,,,3390.8158095560834
31,31,1367,4.028439511653922,6,Permanent pasture,0.5756637230714954,716.0,Tama,386.0107470560829,7.389304851063734,4233.506921654102,0.164206774468083,Canisteo 507,Canisteo,Permanent pasture,0.35,0.0163,200.0,1.03,398.7,3874.0,4009.0,1.765,3.666666667,1063.0,2946.0,C,0.55,1.4727777777777782,2800.1106111111117,555.8151388888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,3741.9364970560837
32,32,1367,4.028439511653922,6,Permanent pasture,0.5756637230714954,716.0,Tama,386.0107470560829,7.389304851063734,4233.506921654102,0.164206774468083,Canisteo 507,Canisteo,Permanent pasture,0.35,0.0163,200.0,1.03,398.7,3874.0,4009.0,1.765,3.666666667,1063.0,2946.0,C,0.55,1.4727777777777782,2800.1106111111117,555.8151388888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,,,,,,,,3741.9364970560837
33,33,1368,4.028439511653922,6,Permanent pasture,0.5756637230714954,716.0,Tama,386.0107470560829,7.389304851063734,4233.506921654102,0.164206774468083,Clarion 138B,Clarion,Permanent pasture,0.35,0.0163,200.0,1.51,398.7,3874.0,5864.0,1.765,3.666666667,1063.0,4801.0,A,0.55,2.1541666666666672,3777.290416666667,576.0864583333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,4739.387622056083
34,34,1368,4.028439511653922,6,Permanent pasture,0.5756637230714954,716.0,Tama,386.0107470560829,7.389304851063734,4233.506921654102,0.164206774468083,Clarion 138B,Clarion,Permanent pasture,0.35,0.0163,200.0,1.51,398.7,3874.0,5864.0,1.765,3.666666667,1063.0,4801.0,A,0.55,2.1541666666666672,3777.290416666667,576.0864583333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,,,,,,,,4739.387622056083
35,35,1369,4.028439511653922,6,Permanent pasture,0.5756637230714954,716.0,Tama,386.0107470560829,7.389304851063734,4233.506921654102,0.164206774468083,Coland 135,Coland,Permanent pasture,0.35,0.0163,200.0,1.01,398.7,3874.0,3918.0,1.765,3.666666667,1063.0,2855.0,L,0.55,1.4406944444444447,2754.099902777778,554.8606597222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,3694.971309556083
36,36,1369,4.028439511653922,6,Permanent pasture,0.5756637230714954,716.0,Tama,386.0107470560829,7.389304851063734,4233.506921654102,0.164206774468083,Coland 135,Coland,Permanent pasture,0.35,0.0163,200.0,1.01,398.7,3874.0,3918.0,1.765,3.666666667,1063.0,2855.0,L,0.55,1.4406944444444447,2754.099902777778,554.8606597222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,,,,,,,,3694.971309556083
37,37,1370,4.028439511653922,6,Permanent pasture,0.5756637230714954,716.0,Tama,386.0107470560829,7.389304851063734,4233.506921654102,0.164206774468083,Downs 162D2,Downs,Permanent pasture,0.35,0.0163,200.0,1.35,398.7,3874.0,5241.0,1.765,3.666666667,1063.0,4177.0,D,0.55,1.9250000000000005,3448.6425000000004,569.26875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,4403.9219970560835
38,38,1370,4.028439511653922,6,Permanent pasture,0.5756637230714954,716.0,Tama,386.0107470560829,7.389304851063734,4233.506921654102,0.164206774468083,Downs 162D2,Downs,Permanent pasture,0.35,0.0163,200.0,1.35,398.7,3874.0,5241.0,1.765,3.666666667,1063.0,4177.0,D,0.55,1.9250000000000005,3448.6425000000004,569.26875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,,,,,,,,4403.9219970560835
39,39,1371,4.028439511653922,6,Permanent pasture,0.5756637230714954,716.0,Tama,386.0107470560829,7.389304851063734,4233.506921654102,0.164206774468083,Gara-Armstrong 993E2,Gara,Permanent pasture,0.35,0.0163,200.0,0.87,398.7,3874.0,3356.0,1.765,3.666666667,1063.0,2293.0,G,0.55,1.232916666666667,2456.1257916666673,548.6792708333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,3390.8158095560834
40,40,1371,4.028439511653922,6,Permanent pasture,0.5756637230714954,716.0,Tama,386.0107470560829,7.389304851063734,4233.506921654102,0.164206774468083,Gara-Armstrong 993E2,Gara,Permanent pasture,0.35,0.0163,200.0,0.87,398.7,3874.0,3356.0,1.765,3.666666667,1063.0,2293.0,G,0.55,1.232916666666667,2456.1257916666673,548.6792708333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,,,,,,,,3390.8158095560834
41,41,1372,4.028439511653922,6,Permanent pasture,0.5756637230714954,716.0,Tama,386.0107470560829,7.389304851063734,4233.506921654102,0.164206774468083,Muscatine 119,Muscatine,Permanent pasture,0.35,0.0163,200.0,1.61,398.7,3874.0,6239.0,1.765,3.666666667,1063.0,5175.0,T,0.55,2.2916666666666674,3974.4791666666674,580.1770833333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,4940.666997056083
42,42,1372,4.028439511653922,6,Permanent pasture,0.5756637230714954,716.0,Tama,386.0107470560829,7.389304851063734,4233.506921654102,0.164206774468083,Muscatine 119,Muscatine,Permanent pasture,0.35,0.0163,200.0,1.61,398.7,3874.0,6239.0,1.765,3.666666667,1063.0,5175.0,T,0.55,2.2916666666666674,3974.4791666666674,580.1770833333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,,,,,,,,4940.666997056083
